store_ID,nb_customers_on_day,open,promotion,school_holiday,Predicted_Sales
415,0,0,0,0,0.0
27,0,0,0,0,0.0
404,657,1,1,0,5435.363636363636
683,862,1,0,0,8139.833333333333
920,591,1,1,0,5838.285714285715
758,569,1,0,0,3999.75
563,321,1,1,0,3914.4
930,1367,1,0,0,7637.222222222223
756,0,0,1,0,0.0
49,546,1,1,0,7279.75
787,968,1,0,1,7892.008032128514
782,472,1,0,0,4865.142857142857
897,0,0,0,0,0.0
933,965,1,0,0,7625.571428571428
218,804,1,0,1,5511.5
554,499,1,1,1,4035.8
362,1337,1,1,1,13072.8
655,560,1,0,0,5833.909090909091
785,461,1,0,1,4992.0
690,866,1,1,0,6312.0
1103,0,0,0,0,0.0
431,1367,1,1,0,16058.142857142857
127,642,1,1,0,6802.334090909091
579,0,0,1,1,0.0
248,1139,1,0,0,7862.333333333333
962,0,0,0,0,0.0
224,515,1,1,1,7404.029411764706
208,355,1,1,1,2769.5
401,1063,1,1,0,11002.681818181818
503,0,0,0,0,0.0
221,562,1,1,0,6091.5
268,0,0,0,0,0.0
799,927,1,1,1,10915.375
260,894,1,0,0,6240.777777777777
1041,594,1,0,0,5149.166666666667
350,533,1,1,0,7889.0
286,0,0,0,0,0.0
620,709,1,1,0,7986.6
521,484,1,1,0,6348.5
649,435,1,1,0,4336.4
1059,1239,1,1,0,9881.875
486,373,1,0,0,2790.1428571428573
252,642,1,0,0,7527.0
656,421,1,1,0,3587.0
642,394,1,0,0,2646.0
655,761,1,1,0,9504.875
992,627,1,0,0,5917.157142857143
143,731,1,1,0,8832.0
421,941,1,1,1,9547.875
246,1157,1,1,0,10666.913793103447
960,720,1,1,0,6131.315789473684
313,697,1,0,0,6152.666666666667
291,534,1,0,0,4860.777777777777
924,333,1,0,0,3062.4
337,430,1,1,1,5937.0
1024,607,1,0,0,4566.293333333333
56,402,1,1,0,6141.142857142857
507,532,1,0,0,5412.0
970,406,1,0,0,2955.3333333333335
846,828,1,0,0,7946.142857142857
549,582,1,0,0,4680.4
1095,852,1,1,1,7193.8
859,709,1,1,0,7432.8
914,1178,1,1,1,10246.166666666666
888,634,1,0,0,5499.559707554833
442,517,1,1,0,5309.590909090909
34,905,1,0,0,6958.615384615385
199,581,1,0,0,6778.875
854,657,1,1,0,7023.571428571428
611,485,1,1,0,5972.166666666667
808,528,1,0,1,5903.857142857143
1105,410,1,0,0,3283.8
866,445,1,0,0,6097.4
222,367,1,0,0,3120.25
476,753,1,1,0,6756.827586206897
800,494,1,0,0,5079.0
330,408,1,0,0,3645.0
507,648,1,1,0,8617.4
98,0,0,0,0,0.0
1026,1044,1,0,0,7572.333333333333
990,719,1,0,0,7445.888888888889
8,345,1,0,0,2705.0
611,566,1,1,1,6282.468629961588
257,777,1,1,0,6722.285714285715
840,1189,1,1,0,8795.285714285714
848,998,1,1,1,10113.8
124,297,1,0,0,2878.2330508474574
1028,438,1,0,1,4324.236714975846
95,1099,1,1,0,10887.5
208,323,1,0,0,2175.3333333333335
249,449,1,0,0,4110.676190476191
887,614,1,1,0,7764.2
73,601,1,1,1,6538.568306010929
13,501,1,1,1,6913.428571428572
1049,580,1,0,1,3441.4444444444443
144,769,1,1,0,8626.833333333334
847,1018,1,1,1,7235.166666666667
796,717,1,0,0,7310.857142857143
396,1139,1,0,0,10235.0
1080,0,0,0,0,0.0
675,338,1,0,0,3078.8333333333335
1099,1236,1,1,0,10651.0
791,858,1,0,0,7581.179797979798
1014,1476,1,0,0,11891.444444444445
487,737,1,1,0,7951.75
427,701,1,0,1,6101.5
254,282,1,1,0,3479.4
43,710,1,0,0,5587.027777777777
1074,421,1,0,0,3554.1111111111113
549,380,1,0,0,3411.4444444444443
1095,720,1,1,0,5327.777777777777
295,612,1,0,1,4315.888888888889
319,863,1,0,1,7739.375
1002,642,1,0,0,4912.157024793389
448,544,1,0,0,5988.75
527,1046,1,0,1,11393.5
255,652,1,1,0,6280.637037037037
581,651,1,1,0,6067.833333333333
185,550,1,0,0,5190.290024630542
244,538,1,0,0,4627.84
1082,877,1,0,0,5477.0
216,837,1,1,0,7293.166666666667
350,508,1,1,0,6845.75
748,822,1,1,0,9544.0
718,962,1,0,0,8303.666666666666
739,789,1,1,0,10291.666666666666
614,0,0,0,0,0.0
673,615,1,1,0,7818.444444444444
83,367,1,0,0,3561.2013651877132
976,598,1,0,0,5168.1578947368425
637,518,1,0,0,6345.833333333333
122,714,1,1,0,7051.024390243902
898,1013,1,1,0,10413.857142857143
1080,710,1,0,0,8172.444444444444
291,1290,1,1,0,11071.27741935484
24,711,1,0,1,7267.263157894737
1096,0,0,0,0,0.0
637,860,1,0,0,10793.25
1002,850,1,1,0,7548.0
666,497,1,0,0,4789.886908420405
1089,0,0,0,0,0.0
334,515,1,0,0,4440.714285714285
300,951,1,0,1,7662.8
207,1166,1,0,0,8922.6
683,854,1,0,0,8139.833333333333
1094,394,1,1,0,4954.1
700,576,1,0,0,4770.959183673469
959,744,1,0,0,6317.166666666667
766,0,0,0,0,0.0
1011,977,1,0,0,7398.166666666667
570,676,1,0,0,4364.0
685,689,1,1,0,8400.555555555555
158,681,1,1,1,7496.8533333333335
66,522,1,0,1,5110.641025641025
76,1080,1,1,0,11315.555555555555
572,458,1,0,0,5147.5
184,510,1,0,0,4570.776595744681
1034,775,1,1,0,7840.704630788486
559,0,0,0,0,0.0
862,1561,1,0,1,14025.714285714286
171,962,1,1,0,9413.625
33,0,0,0,0,0.0
936,963,1,1,0,7968.857142857143
948,1682,1,1,0,6617.666666666667
371,551,1,0,0,6621.666666666667
242,378,1,1,0,4505.833333333333
133,622,1,0,0,4837.222222222223
1031,681,1,1,0,5705.4
850,710,1,1,0,7128.818181818182
860,833,1,1,0,6656.0
836,301,1,0,0,2315.0
965,908,1,0,0,7464.666666666667
1096,763,1,1,0,7196.4
504,836,1,1,1,8230.33575883576
230,1327,1,0,1,13860.5
826,1170,1,1,0,11311.0
975,767,1,1,1,7782.7
602,547,1,0,1,5061.0
953,553,1,1,0,5576.2
187,491,1,0,0,4639.407407407408
792,599,1,0,0,5511.685714285714
1035,744,1,1,0,7347.997920997921
523,1515,1,1,1,14055.333333333334
723,461,1,0,1,5094.222222222223
1025,0,0,0,0,0.0
18,0,0,0,0,0.0
997,378,1,1,1,4861.833333333333
400,805,1,0,0,7382.8650793650795
1047,491,1,0,0,4674.244897959184
819,472,1,0,0,5034.04347826087
668,1562,1,1,0,13272.8
585,666,1,0,0,4009.0
99,404,1,0,0,4123.424242424242
965,847,1,0,0,7383.5
590,376,1,1,0,5004.125
709,1682,1,1,0,14078.25
58,0,0,0,0,0.0
409,0,0,0,0,0.0
850,826,1,0,0,7373.8
1058,737,1,1,0,7347.997920997921
1067,0,0,0,0,0.0
777,0,0,0,1,0.0
155,632,1,1,0,6802.334090909091
598,871,1,1,0,7023.428571428572
493,902,1,1,0,9627.555555555555
628,0,0,0,1,0.0
524,1193,1,0,1,12005.777777777777
966,585,1,0,1,4558.25
1022,791,1,0,1,6982.5
380,1720,1,1,0,19809.8
132,579,1,1,0,5757.0
400,999,1,0,0,6675.6
988,790,1,1,0,7782.7
906,1476,1,1,0,15779.2
1028,689,1,1,0,5705.4
1100,484,1,0,0,3615.6
759,607,1,0,0,4842.0
223,716,1,0,0,6642.75
936,0,0,0,0,0.0
780,341,1,0,0,2791.6666666666665
259,2677,1,1,0,13884.714285714286
131,582,1,0,0,5424.8899755501225
251,2241,1,1,0,17420.6
1079,517,1,0,0,6151.166666666667
1003,1029,1,1,0,10885.555555555555
980,450,1,0,0,5273.846153846154
654,766,1,1,0,7529.111111111111
966,517,1,0,1,4177.451612903225
1020,929,1,0,0,7190.5625
969,610,1,1,0,3612.1428571428573
1038,490,1,0,1,4809.623306233062
516,453,1,0,1,4418.631958762887
733,3171,1,0,0,14420.333333333334
595,1881,1,0,0,15794.42857142857
260,962,1,1,1,7364.2
768,1251,1,0,0,11099.166666666666
940,627,1,0,0,5499.559707554833
364,563,1,0,0,4250.5
506,763,1,0,1,6300.2
671,507,1,1,1,5940.6
300,862,1,0,0,6985.8
84,1563,1,1,0,15768.5
219,455,1,1,0,3496.6
934,764,1,1,0,7609.959612277868
125,1906,1,1,1,16108.857142857143
176,757,1,1,0,6553.8
223,675,1,0,0,5745.285714285715
326,429,1,1,0,5314.5
339,745,1,1,0,5758.166666666667
872,659,1,0,1,6804.625
579,0,0,0,0,0.0
974,1599,1,0,0,11099.6
979,0,0,0,0,0.0
880,806,1,1,0,8036.5
910,0,0,0,0,0.0
1084,614,1,0,0,5653.764705882353
92,453,1,0,0,4504.045454545455
14,402,1,0,0,3480.1111111111113
587,960,1,0,1,6363.6
230,856,1,1,0,7223.0
689,589,1,0,0,5322.727272727273
599,1096,1,1,0,13053.0
596,0,0,0,0,0.0
576,749,1,0,0,6006.650485436893
141,493,1,0,0,4065.2
751,0,0,0,1,0.0
877,925,1,0,0,6419.571428571428
375,948,1,1,0,11666.6
230,988,1,0,0,7819.5
545,1087,1,1,0,11437.142857142857
1022,1093,1,1,0,10183.714285714286
597,756,1,1,1,5362.4
559,0,0,0,0,0.0
1024,825,1,0,0,6256.0
36,1205,1,1,0,10550.125
702,351,1,1,1,4845.888888888889
623,0,0,0,0,0.0
105,483,1,0,0,4901.612903225807
902,648,1,1,0,4946.666666666667
11,786,1,0,0,5460.714285714285
1039,629,1,0,0,5766.046875
102,1174,1,1,0,10048.73
543,175,1,0,1,1622.0
827,1910,1,0,1,14372.375
110,647,1,1,0,6802.334090909091
945,698,1,1,1,7839.241379310345
582,749,1,0,0,6006.650485436893
554,428,1,0,0,4225.043010752688
486,384,1,0,1,2936.4
637,520,1,0,0,6345.833333333333
806,578,1,0,0,6325.0
887,462,1,0,0,4717.210526315789
374,668,1,0,0,6707.4
1025,804,1,0,1,6399.5
638,431,1,0,1,4800.8
123,490,1,0,0,3974.125
905,1108,1,1,0,7635.5
536,989,1,0,1,8587.0
763,0,0,0,0,0.0
191,694,1,0,0,6734.777777777777
957,948,1,1,0,9104.174311926605
268,618,1,1,0,5634.727272727273
654,266,1,0,0,2557.3289473684213
612,388,1,0,0,5697.375
747,567,1,0,1,6037.2
656,380,1,0,0,3006.2
368,592,1,0,1,7362.5
959,552,1,0,0,4877.449438202248
329,708,1,1,0,8438.57142857143
97,535,1,0,1,5756.0
314,661,1,1,1,6983.5144766147
463,0,0,0,0,0.0
258,0,0,0,0,0.0
283,621,1,0,0,5952.285714285715
556,754,1,0,0,5606.198757763975
388,1211,1,1,0,11927.5
